Roll No,Gender,District,Rank,Apt_BAR,p1,p2,QuotaGroup,QuotaType,phaseNo,valid,amount,admitted,year
518,Male,Arghakhanchi,492,,12,,Open,Open,2,1,300,0,2077
2763,Male,Arghakhanchi,80,,11,,Open,Open,2,1,300,1,2077
3368,Male,Arghakhanchi,2362,,6,,Open,Open,2,1,300,0,2077
4818,Male,Arghakhanchi,1721,,29,6,Open,Open,2,1,600,0,2077
2551,Male,Arghakhanchi,1286,,6,,Open,Open,2,1,300,0,2077
4818,Male,Arghakhanchi,1721,,27,6,Open,Open,3,1,600,0,2077
3161,Male,Arghakhanchi,928,,5,6,Open,Open,3,1,600,0,2077
2976,Male,Arghakhanchi,3701,,8,,Open,Open,3,1,300,0,2077
2763,Male,Arghakhanchi,80,,11,,Open,Open,4,1,300,1,2077
8677,Male,Arghakhanchi,4970,,12,11,Open,Open,4,1,900,0,2077
3368,Male,Arghakhanchi,2362,,11,12,Open,Open,4,1,600,0,2077
8857,Female,Baglung,5009,,1,,Reserverd Quota,,1,0,300,0,2077
5950,Female,Baglung,1580,1,11,12,Open,Female Quota,1,1,2100,0,2077
6940,Female,Baglung,3260,,30,,Open,Female Quota,1,1,300,0,2077
5305,Female,Baglung,2654,,11,1,Open,Female Quota,1,1,900,0,2077
5305,Female,Baglung,2654,,11,1,Reserverd Quota,,1,0,600,0,2077
154,Female,Baglung,53,1,3,,Open,Female Quota,1,1,600,1,2077
4669,Female,Baglung,827,,11,12,Open,Female Quota,1,1,600,0,2077
568,Female,Baglung,3357,1,4,,Open,Female Quota,1,1,600,0,2077
5950,Female,Baglung,1580,1,4,,Open,Female Quota,2,1,300,0,2077
6729,Male,Baglung,1501,,28,8,Open,Open,1,1,600,0,2077
8080,Male,Baglung,854,,2,,Open,Open,1,1,300,0,2077
3053,Male,Baglung,527,,2,5,Open,Open,1,1,900,0,2077
4632,Male,Baglung,133,,11,12,Open,Open,1,1,600,0,2077
3851,Male,Baglung,241,,1,2,Open,Open,1,1,600,1,2077
1823,Male,Baglung,590,,2,,Open,Open,1,1,300,0,2077
627,Male,Baglung,103,,11,12,Open,Open,1,1,1200,1,2077
5798,Male,Baglung,85,,1,2,Open,Open,1,1,600,1,2077
3500,Male,Baglung,444,,12,2,Open,Open,1,1,2100,1,2077
4644,Male,Baglung,324,,1,9,Open,Open,1,1,1500,1,2077
521,Male,Baglung,242,,11,12,Open,Open,1,1,1200,1,2077
310,Male,Baglung,1064,1,4,,Open,Open,1,1,600,0,2077
1052,Male,Baglung,79,,1,,Open,Open,1,1,300,1,2077
10440,Male,Baglung,1617,,29,30,Open,Open,1,1,600,0,2077
7641,Male,Baglung,1312,,9,1,Reserverd Quota,Adivashi/Janajati,1,1,900,1,2077
12044,Male,Baglung,2561,,1,2,Open,Open,1,1,600,0,2077
1104,Male,Baglung,4791,,2,,Open,Open,1,1,300,0,2077
5832,Male,Baglung,2152,,6,10,Open,Open,2,1,600,0,2077
6190,Female,Baitadi,935,,3,4,Open,Female Quota,1,1,900,0,2077
6655,Female,Baitadi,1704,,11,12,Open,Female Quota,1,1,1800,0,2077
6190,Female,Baitadi,935,,5,6,Open,Female Quota,2,1,600,0,2077
385,Male,Baitadi,674,,5,6,Open,Open,1,1,600,1,2077
3632,Male,Baitadi,174,,1,,Open,Open,1,1,300,0,2077
2090,Male,Baitadi,750,,2,,Open,Open,1,1,300,0,2077
4253,Male,Baitadi,318,,9,7,Open,Open,1,1,900,1,2077
6138,Male,Baitadi,99,,1,,Open,Open,1,1,300,1,2077
3751,Male,Baitadi,1545,,11,12,Open,Open,2,1,600,0,2077
385,Male,Baitadi,674,,5,,Open,Open,2,1,300,1,2077
3751,Male,Baitadi,1545,,11,12,Open,Open,4,1,600,0,2077
8072,Male,Bajhang,87,,11,1,Open,Open,1,1,900,1,2077
7129,Male,Bajhang,289,,1,,Reserverd Quota,,1,0,300,0,2077
7129,Male,Bajhang,289,,1,9,Open,Open,1,1,900,0,2077
10997,Male,Bajhang,1016,,7,8,Open,Open,1,1,600,0,2077
4707,Male,Bajhang,696,,2,6,Open,Open,1,1,1500,0,2077
12009,Male,Bajhang,2611,,11,5,Open,Open,1,1,900,0,2077
10997,Male,Bajhang,1016,,8,,Open,Open,3,1,300,0,2077
1154,Male,Bajura,196,,7,12,Open,Open,1,1,600,1,2077
7561,Male,Bajura,2390,,27,28,Open,Open,3,1,600,0,2077
5923,Female,Banke,1735,1,3,4,Open,Female Quota,1,1,900,0,2077
3517,Female,Banke,1077,,2,12,Open,Female Quota,1,1,1200,0,2077
5923,Female,Banke,1735,1,4,,Open,Female Quota,2,1,300,0,2077
4795,Male,Banke,734,,2,,Open,Open,1,1,300,0,2077
2839,Male,Banke,4231,,11,1,Reserverd Quota,,1,0,600,0,2077
2742,Male,Banke,2385,,1,9,Reserverd Quota,,1,0,600,0,2077
1209,Male,Banke,398,,2,5,Open,Open,1,1,600,0,2077
7753,Male,Banke,3034,,1,,Reserverd Quota,,1,0,300,0,2077
7753,Male,Banke,3034,,2,,Government Sponsored,Government Sponsored Quota,1,0,300,0,2077
7753,Male,Banke,3034,,9,,Open,Open,1,1,300,0,2077
482,Male,Banke,363,,7,12,Open,Open,1,1,900,1,2077
2097,Male,Banke,2784,,9,1,Reserverd Quota,,1,0,600,0,2077
2102,Male,Banke,490,,1,,Open,Open,1,1,300,0,2077
5928,Male,Banke,451,,2,,Open,Open,1,1,300,0,2077
6843,Male,Banke,4459,,1,5,Reserverd Quota,,1,0,900,0,2077
6843,Male,Banke,4459,,6,,Government Sponsored,Government Sponsored Quota,1,0,300,0,2077
3133,Male,Banke,4677,,28,10,Open,Open,2,1,600,0,2077
3768,Female,Bara,3180,,3,,Reserverd Quota,,1,0,600,0,2077
4859,Female,Bara,3445,,29,30,Open,Female Quota,1,1,600,0,2077
10873,Female,Bara,6146,,2,,Open,Female Quota,1,1,300,0,2077
10212,Male,Bara,1824,,10,,Open,Open,1,1,300,0,2077
7009,Male,Bara,6374,,28,30,Open,Open,1,1,600,0,2077
3134,Male,Bara,463,,1,2,Open,Open,1,1,600,0,2077
7826,Male,Bara,175,,11,12,Open,Open,1,1,600,1,2077
1571,Male,Bara,1331,,11,9,Open,Open,1,1,1200,0,2077
1439,Male,Bara,5377,,9,11,Reserverd Quota,Tharu,1,1,1800,1,2077
7697,Male,Bara,4651,,1,11,Reserverd Quota,,1,0,1500,0,2077
4450,Male,Bara,1009,,9,,Reserverd Quota,,1,0,300,0,2077
2306,Male,Bara,2725,,1,,Reserverd Quota,,1,0,300,0,2077
5230,Male,Bara,375,,1,2,Open,Open,1,1,600,0,2077
701,Male,Bara,893,,11,1,Open,Open,1,1,2400,1,2077
5837,Male,Bara,1556,,1,5,Reserverd Quota,,1,0,600,0,2077
5837,Male,Bara,1556,,1,5,Open,Open,1,1,600,0,2077
8315,Male,Bara,4846,,5,29,Reserverd Quota,,1,0,900,0,2077
8315,Male,Bara,4846,,6,29,Open,Open,1,1,600,0,2077
12219,Male,Bara,3799,,28,,Open,Open,1,1,300,0,2077
5164,Male,Bara,206,,9,7,Open,Open,1,1,900,1,2077
9531,Male,Bara,1902,,2,6,Open,Open,1,1,900,0,2077
264,Male,Bara,1607,1,4,,Open,Open,1,1,600,0,2077
2377,Male,Bara,2678,,11,12,Open,Open,1,1,600,0,2077
2013,Male,Bara,5236,,12,,Open,Open,1,1,300,0,2077
3134,Male,Bara,463,,2,,Open,Open,2,1,300,0,2077
5230,Male,Bara,375,,2,,Open,Open,2,1,300,0,2077
993,Male,Bara,4118,,6,28,Open,Open,2,1,600,0,2077
5837,Male,Bara,1556,,5,,Open,Open,2,1,300,0,2077
701,Male,Bara,893,,12,2,Open,Open,2,1,1800,1,2077
9531,Male,Bara,1902,,2,10,Open,Open,2,1,900,0,2077
7633,Male,Bara,2448,,2,,Open,Open,2,1,300,0,2077
1487,Male,Bara,2195,,28,,Open,Open,2,1,300,0,2077
9531,Male,Bara,1902,,2,6,Open,Open,3,1,900,0,2077
701,Male,Bara,893,,5,,Open,Open,3,1,300,1,2077
1487,Male,Bara,2195,,11,12,Open,Open,4,1,900,0,2077
1283,Male,Bara,457,,11,,Open,Open,4,1,300,0,2077
105,Male,Bardiya,161,,11,12,Open,Open,1,1,1200,1,2077
916,Male,Bardiya,117,,11,12,Open,Open,1,1,600,1,2077
3433,Male,Bardiya,236,,1,2,Open,Open,1,1,1800,1,2077
3424,Male,Bardiya,2642,,7,2,Open,Open,1,1,900,0,2077
2800,Male,Bardiya,1977,,11,1,Reserverd Quota,Tharu,1,1,600,1,2077
7375,Male,Bardiya,786,,11,12,Open,Open,1,1,600,0,2077
2826,Male,Bardiya,478,,12,2,Open,Open,1,1,600,0,2077
1731,Male,Bardiya,450,,12,7,Open,Open,1,1,600,0,2077
6388,Male,Bardiya,3544,,30,,Open,Open,1,1,300,0,2077
640,Male,Bardiya,4573,,7,11,Reserverd Quota,,1,0,900,0,2077
1253,Male,Bardiya,6220,,10,,Open,Open,2,1,300,0,2077
2826,Male,Bardiya,478,,12,,Open,Open,2,1,300,0,2077
1714,Female,Bhaktapur,1278,,7,8,Open,Female Quota,1,1,600,0,2077
5884,Female,Bhaktapur,793,,1,2,Open,Female Quota,1,1,600,0,2077
4197,Female,Bhaktapur,5229,1,4,,Open,Female Quota,1,1,600,0,2077
9686,Female,Bhaktapur,3003,1,4,,Open,Female Quota,1,1,600,0,2077
2469,Female,Bhaktapur,2926,1,28,4,Open,Female Quota,1,1,900,0,2077
2469,Female,Bhaktapur,2926,1,27,3,Reserverd Quota,,1,0,600,0,2077
426,Female,Bhaktapur,2600,,6,4,Open,Female Quota,1,1,1500,0,2077
5588,Female,Bhaktapur,1436,,29,30,Open,Female Quota,1,1,600,0,2077
5588,Female,Bhaktapur,1436,,29,1,Reserverd Quota,,1,0,600,0,2077
3153,Female,Bhaktapur,4181,,4,,Open,Female Quota,1,1,600,0,2077
1963,Female,Bhaktapur,790,,3,4,Open,Female Quota,1,1,1200,0,2077
1706,Female,Bhaktapur,2988,1,4,,Open,Female Quota,1,1,600,0,2077
11563,Female,Bhaktapur,2645,1,4,8,Open,Female Quota,1,1,900,0,2077
2600,Female,Bhaktapur,2866,,30,,Open,Female Quota,1,1,300,0,2077
8182,Female,Bhaktapur,2799,,12,8,Open,Female Quota,1,1,900,0,2077
7028,Female,Bhaktapur,1010,1,3,4,Open,Female Quota,1,1,900,1,2077
718,Female,Bhaktapur,2862,,29,30,Open,Female Quota,1,1,600,0,2077
6068,Female,Bhaktapur,921,,2,,Open,Female Quota,1,1,300,0,2077
4506,Female,Bhaktapur,1067,1,3,4,Open,Female Quota,1,1,900,1,2077
1291,Female,Bhaktapur,114,,11,12,Open,Female Quota,1,1,600,1,2077
6870,Female,Bhaktapur,3585,,4,10,Open,Female Quota,1,1,900,0,2077
4814,Female,Bhaktapur,233,1,3,4,Open,Female Quota,1,1,1500,1,2077
1842,Female,Bhaktapur,1472,1,1,,IOE Staff,IOE Staff Quota,1,0,300,0,2077
1842,Female,Bhaktapur,1472,1,3,4,Open,Female Quota,1,1,1200,0,2077
423,Female,Bhaktapur,3327,1,4,,Open,Female Quota,1,1,600,0,2077
6075,Female,Bhaktapur,2225,,10,2,Open,Female Quota,1,1,600,0,2077
1931,Female,Bhaktapur,1207,,2,,Open,Female Quota,1,1,300,0,2077
3551,Female,Bhaktapur,3021,,4,,Open,Female Quota,1,1,600,0,2077
7616,Female,Bhaktapur,755,1,3,4,Open,Female Quota,1,1,2100,1,2077
4197,Female,Bhaktapur,5229,1,3,27,Reserverd Quota,,1,0,600,0,2077
2112,Female,Bhaktapur,4866,,1,,Reserverd Quota,,1,0,300,0,2077
5932,Female,Bhaktapur,2816,,27,28,Open,Female Quota,1,1,900,0,2077
11131,Female,Bhaktapur,971,,12,,Open,Female Quota,1,1,300,0,2077
3016,Female,Bhaktapur,2344,1,4,,Open,Female Quota,1,1,600,0,2077
3017,Female,Bhaktapur,3144,1,4,,Open,Female Quota,1,1,600,0,2077
6450,Female,Bhaktapur,4313,1,4,,Open,Female Quota,1,1,600,0,2077
5345,Female,Bhaktapur,1560,,12,,Open,Female Quota,1,1,300,0,2077
6229,Female,Bhaktapur,4233,1,3,4,Open,Female Quota,1,1,900,0,2077
897,Female,Bhaktapur,4293,1,4,,Open,Female Quota,1,1,600,0,2077
5031,Female,Bhaktapur,4859,,1,11,Open,Female Quota,1,1,600,0,2077
2887,Female,Bhaktapur,1116,,2,,Open,Female Quota,1,1,300,0,2077
1842,Female,Bhaktapur,1472,1,3,4,Open,Female Quota,2,1,600,0,2077
3551,Female,Bhaktapur,3021,,4,,Open,Female Quota,2,1,300,0,2077
1714,Female,Bhaktapur,1278,,8,,Open,Female Quota,2,1,300,0,2077
5932,Female,Bhaktapur,2816,,28,,Open,Female Quota,2,1,300,0,2077
2112,Female,Bhaktapur,4866,,1,4,Open,Female Quota,2,1,1200,0,2077
5932,Female,Bhaktapur,2816,,27,28,Open,Female Quota,3,1,600,0,2077
1842,Female,Bhaktapur,1472,1,3,4,Open,Female Quota,3,1,600,0,2077
5073,Female,Bhaktapur,1897,,2,,Open,Female Quota,4,1,300,0,2077
752,Male,Bhaktapur,408,,2,7,Open,Open,1,1,1500,1,2077
6513,Male,Bhaktapur,3506,1,4,2,Open,Open,1,1,900,0,2077
6108,Male,Bhaktapur,3532,,4,,Open,Open,1,1,600,0,2077
3032,Male,Bhaktapur,1246,,11,12,Open,Open,1,1,600,0,2077
2768,Male,Bhaktapur,681,1,1,2,Open,Open,1,1,1200,1,2077
746,Male,Bhaktapur,92,,1,11,Open,Open,1,1,900,1,2077
5971,Male,Bhaktapur,942,,12,,Open,Open,1,1,300,0,2077
5971,Male,Bhaktapur,942,,11,,Reserverd Quota,,1,0,300,0,2077
6099,Male,Bhaktapur,605,,11,12,Open,Open,1,1,1200,0,2077
4648,Male,Bhaktapur,2057,,2,5,Open,Open,1,1,600,0,2077
2652,Male,Bhaktapur,176,,11,12,Open,Open,1,1,1200,1,2077
11370,Male,Bhaktapur,4364,,11,5,Reserverd Quota,,1,0,900,0,2077
11370,Male,Bhaktapur,4364,,11,5,Open,Open,1,1,900,0,2077
9225,Male,Bhaktapur,4635,,30,29,Open,Open,1,1,600,0,2077
7250,Male,Bhaktapur,595,,12,,Open,Open,1,1,300,0,2077
1153,Male,Bhaktapur,339,,1,2,Open,Open,1,1,600,1,2077
10102,Male,Bhaktapur,52,,1,,Open,Open,1,1,300,1,2077
3741,Male,Bhaktapur,414,,11,12,Open,Open,1,1,600,0,2077
6637,Male,Bhaktapur,1068,,27,28,Open,Open,1,1,600,1,2077
3674,Male,Bhaktapur,689,,11,12,Open,Open,1,1,600,0,2077
600,Male,Bhaktapur,422,,7,8,Open,Open,1,1,1800,1,2077
1990,Male,Bhaktapur,261,,11,12,Open,Open,1,1,1800,1,2077
1983,Male,Bhaktapur,393,,1,2,Open,Open,1,1,600,0,2077
5722,Male,Bhaktapur,31,,11,12,Open,Open,1,1,600,1,2077
322,Male,Bhaktapur,1882,,10,28,Open,Open,1,1,900,1,2077
9852,Male,Bhaktapur,1673,,11,28,Open,Open,1,1,600,0,2077
5397,Male,Bhaktapur,4460,,12,,Open,Open,1,1,300,0,2077
7234,Male,Bhaktapur,2002,,2,,Open,Open,1,1,300,0,2077
10443,Male,Bhaktapur,5231,,29,,Reserverd Quota,,1,0,300,0,2077
3181,Male,Bhaktapur,3345,,28,,Open,Open,1,1,300,0,2077
7033,Male,Bhaktapur,757,,11,,Reserverd Quota,,1,0,300,0,2077
11912,Male,Bhaktapur,1126,,11,12,Open,Open,1,1,900,0,2077
2684,Male,Bhaktapur,49,,9,1,Open,Open,1,1,600,1,2077
1067,Male,Bhaktapur,765,,2,,Open,Open,1,1,300,0,2077
5495,Male,Bhaktapur,1608,,11,1,Reserverd Quota,,1,0,900,0,2077
12040,Male,Bhaktapur,3106,,29,30,Open,Open,1,1,600,0,2077
7209,Male,Bhaktapur,926,,2,8,Open,Open,1,1,900,0,2077
2927,Male,Bhaktapur,1075,,10,,Open,Open,1,1,300,0,2077
5495,Male,Bhaktapur,1608,,12,,Government Sponsored,Government Sponsored Quota,1,0,300,0,2077
8824,Male,Bhaktapur,2245,,2,12,Open,Open,1,1,600,0,2077
11898,Male,Bhaktapur,885,,7,12,Open,Open,1,1,1200,0,2077
1562,Male,Bhaktapur,4165,,30,,Open,Open,1,1,300,0,2077
2265,Male,Bhaktapur,2773,,6,10,Open,Open,1,1,600,0,2077
12745,Male,Bhaktapur,5281,,27,29,Reserverd Quota,,1,0,600,0,2077
6099,Male,Bhaktapur,605,,12,8,Open,Open,2,1,600,0,2077
9225,Male,Bhaktapur,4635,,30,,Open,Open,2,1,300,0,2077
9543,Male,Bhaktapur,112,,8,5,Open,Open,2,1,600,1,2077
322,Male,Bhaktapur,1882,,10,28,Open,Open,2,1,600,1,2077
9245,Male,Bhaktapur,3566,,28,30,Open,Open,2,1,600,0,2077
6099,Male,Bhaktapur,605,,12,7,Open,Open,3,1,900,0,2077
322,Male,Bhaktapur,1882,,27,,Open,Open,3,1,300,1,2077
9543,Male,Bhaktapur,112,,7,,Open,Open,3,1,300,1,2077
6476,Female,Bhojpur,2800,,4,29,Open,Female Quota,1,1,900,0,2077
4391,Female,Bhojpur,5899,,11,1,Reserverd Quota,,1,0,600,0,2077
8092,Female,Bhojpur,3541,,28,,Open,Female Quota,2,1,300,0,2077
6476,Female,Bhojpur,2800,,4,8,Open,Female Quota,2,1,1200,0,2077
417,Male,Bhojpur,554,,9,10,Open,Open,1,1,1200,1,2077
6441,Male,Bhojpur,1154,,2,6,Open,Open,1,1,600,0,2077
48,Male,Bhojpur,1664,1,3,4,Open,Open,1,1,900,0,2077
7907,Male,Bhojpur,1339,,3,4,Open,Open,1,1,2100,1,2077
70,Male,Bhojpur,3,,9,,Open,Open,1,1,300,1,2077
610,Male,Bhojpur,721,,1,2,Open,Open,1,1,600,0,2077
6441,Male,Bhojpur,1154,,5,6,Open,Open,2,1,600,0,2077
6441,Male,Bhojpur,1154,,5,6,Open,Open,3,1,600,0,2077
48,Male,Bhojpur,1664,1,4,,Open,Open,3,1,300,0,2077
1734,Female,Chitawan,1055,,3,4,Open,Female Quota,1,1,900,0,2077
1096,Female,Chitawan,2535,,3,4,Open,Female Quota,1,1,900,0,2077
2874,Female,Chitawan,968,1,3,4,Open,Female Quota,1,1,900,1,2077
4012,Female,Chitawan,1402,1,3,4,Open,Female Quota,1,1,1500,0,2077
8107,Female,Chitawan,2987,,30,,Open,Female Quota,1,1,300,1,2077
226,Female,Chitawan,697,,12,7,Open,Female Quota,1,1,1500,1,2077
891,Female,Chitawan,1169,,6,,Open,Female Quota,1,1,300,0,2077
199,Female,Chitawan,671,,1,2,Open,Female Quota,1,1,600,0,2077
1546,Female,Chitawan,4321,,1,9,Reserverd Quota,,1,0,600,0,2077
1546,Female,Chitawan,4321,,10,,Open,Female Quota,1,1,300,0,2077
2073,Female,Chitawan,3086,1,4,,Open,Female Quota,1,1,600,0,2077
2928,Female,Chitawan,2972,,5,6,Open,Female Quota,1,1,600,0,2077
3557,Female,Chitawan,2353,,12,,Open,Female Quota,1,1,300,0,2077
3556,Female,Chitawan,4806,1,4,,Open,Female Quota,1,1,600,0,2077
2481,Female,Chitawan,5317,,30,,Open,Female Quota,1,1,300,0,2077
4354,Female,Chitawan,2214,,1,2,Open,Female Quota,1,1,600,0,2077
10639,Female,Chitawan,3747,,3,4,Open,Female Quota,1,1,900,0,2077
8052,Female,Chitawan,443,,7,,Open,Female Quota,1,1,300,1,2077
7365,Female,Chitawan,1225,,1,2,Open,Female Quota,1,1,900,1,2077
4226,Female,Chitawan,3359,,29,30,Open,Female Quota,1,1,600,1,2077
12471,Female,Chitawan,2960,,8,6,Open,Female Quota,1,1,600,0,2077
8436,Female,Chitawan,3927,,2,,Open,Female Quota,1,1,300,0,2077
8012,Female,Chitawan,5004,,12,,Open,Female Quota,1,1,300,0,2077
226,Female,Chitawan,697,,11,12,Open,Female Quota,2,1,900,1,2077
4012,Female,Chitawan,1402,1,4,,Open,Female Quota,2,1,300,0,2077
4226,Female,Chitawan,3359,,30,,Open,Female Quota,2,1,300,1,2077
12471,Female,Chitawan,2960,,12,8,Open,Female Quota,2,1,600,0,2077
7365,Female,Chitawan,1225,,28,,Open,Female Quota,2,1,300,1,2077
2481,Female,Chitawan,5317,,30,6,Open,Female Quota,2,1,600,0,2077
2344,Female,Chitawan,5616,,30,,Open,Female Quota,2,1,300,0,2077
307,Female,Chitawan,3006,,28,,Open,Female Quota,2,1,300,0,2077
199,Female,Chitawan,671,,1,2,Open,Female Quota,2,1,600,0,2077
7365,Female,Chitawan,1225,,27,,Open,Female Quota,3,1,300,1,2077
5246,Male,Chitawan,300,,9,2,Open,Open,1,1,1200,1,2077
12716,Male,Chitawan,131,,1,2,Open,Open,1,1,600,1,2077
951,Male,Chitawan,1011,,2,12,Open,Open,1,1,1200,0,2077
7971,Male,Chitawan,449,,1,2,Open,Open,1,1,600,0,2077
827,Male,Chitawan,195,,5,9,Open,Open,1,1,1200,1,2077
3401,Male,Chitawan,534,,12,8,Open,Open,1,1,900,0,2077
1057,Male,Chitawan,694,,2,9,Open,Open,1,1,900,0,2077
1639,Male,Chitawan,13,,1,,Open,Open,1,1,300,1,2077
10665,Male,Chitawan,1595,,2,29,Open,Open,1,1,600,0,2077
1829,Male,Chitawan,209,,5,2,Open,Open,1,1,900,1,2077
2545,Male,Chitawan,140,,1,9,Open,Open,1,1,900,1,2077
10647,Male,Chitawan,127,,11,12,Open,Open,1,1,600,1,2077
2766,Male,Chitawan,159,,1,,Open,Open,1,1,300,1,2077
1557,Male,Chitawan,275,,11,12,Open,Open,1,1,1200,1,2077
866,Male,Chitawan,369,,12,,Open,Open,1,1,300,0,2077
4379,Male,Chitawan,3056,,10,28,Open,Open,1,1,600,0,2077
1302,Male,Chitawan,211,,11,12,Open,Open,1,1,1200,1,2077
7135,Male,Chitawan,4675,,30,,Open,Open,1,1,300,0,2077
54,Male,Chitawan,332,,2,7,Open,Open,1,1,900,1,2077
2694,Male,Chitawan,218,,1,2,Open,Open,1,1,600,1,2077
5367,Male,Chitawan,485,,7,8,Open,Open,1,1,600,1,2077
3657,Male,Chitawan,545,,7,12,Open,Open,1,1,900,0,2077
6281,Male,Chitawan,344,,2,5,Open,Open,1,1,900,1,2077
8497,Male,Chitawan,2310,1,3,4,Open,Open,1,1,900,0,2077
4302,Male,Chitawan,194,,1,5,Open,Open,1,1,900,1,2077
1273,Male,Chitawan,205,,12,,Open,Open,1,1,300,1,2077
952,Male,Chitawan,684,,9,10,Open,Open,1,1,600,1,2077
11721,Male,Chitawan,886,,5,6,Open,Open,1,1,600,0,2077
429,Male,Chitawan,1606,,4,28,Open,Open,1,1,900,1,2077
9083,Male,Chitawan,1035,,27,28,Open,Open,1,1,2400,1,2077
3598,Male,Chitawan,407,,12,7,Open,Open,1,1,900,0,2077
374,Male,Chitawan,336,,1,2,Open,Open,1,1,600,1,2077
7925,Male,Chitawan,3925,,30,,Open,Open,1,1,300,0,2077
6817,Male,Chitawan,1050,,7,8,Open,Open,1,1,600,0,2077
