name,category,date,value
Kanchanpur,Kanchanpur,2076-01-01,2
Syangja,Syangja,2076-01-01,5
Parbat,Parbat,2076-01-01,3
Kaski,Kaski,2076-01-01,9
Kathmandu,Kathmandu,2076-01-01,12
Saptari,Saptari,2076-01-01,3
Saptari,Saptari,2076-01-01,4
Tanahun,Tanahun,2076-01-01,3
Bardiya,Bardiya,2076-01-01,1
Kaski,Kaski,2076-01-01,10
Kaski,Kaski,2076-01-01,11
Lamjung,Lamjung,2076-01-01,3
Arghakhanchi,Arghakhanchi,2076-01-01,2
Chitawan,Chitawan,2076-01-01,5
Kaski,Kaski,2076-01-01,12
Kathmandu,Kathmandu,2076-01-01,13
Siraha,Siraha,2076-01-01,4
Nuwakot,Nuwakot,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,14
Dhanusha,Dhanusha,2076-01-01,3
Kaski,Kaski,2076-01-01,13
Khotang,Khotang,2076-01-01,1
Sunsari,Sunsari,2076-01-01,3
Siraha,Siraha,2076-01-01,5
Syangja,Syangja,2076-01-01,6
Kanchanpur,Kanchanpur,2076-01-01,3
Arghakhanchi,Arghakhanchi,2076-01-01,3
Kaski,Kaski,2076-01-01,14
Kathmandu,Kathmandu,2076-01-01,15
Gorkha,Gorkha,2076-01-01,2
Banke,Banke,2076-01-01,2
Rupandehi,Rupandehi,2076-01-01,8
Kathmandu,Kathmandu,2076-01-01,16
Kathmandu,Kathmandu,2076-01-01,17
Nawalparasi,Nawalparasi,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,18
Nawalparasi,Nawalparasi,2076-01-01,2
Bhaktapur,Bhaktapur,2076-01-01,1
Banke,Banke,2076-01-01,3
Lamjung,Lamjung,2076-01-01,4
Makwanpur,Makwanpur,2076-01-01,2
Bhaktapur,Bhaktapur,2076-01-01,2
Kaski,Kaski,2076-01-01,15
Gulmi,Gulmi,2076-01-01,3
Lamjung,Lamjung,2076-01-01,5
Syangja,Syangja,2076-01-01,7
Palpa,Palpa,2076-01-01,1
Kavrepalanchok,Kavrepalanchok,2076-01-01,2
Morang,Morang,2076-01-01,2
Dhading,Dhading,2076-01-01,1
Nawalparasi,Nawalparasi,2076-01-01,3
Parbat,Parbat,2076-01-01,4
Baglung,Baglung,2076-01-01,1
Chitawan,Chitawan,2076-01-01,6
Banke,Banke,2076-01-01,4
Parbat,Parbat,2076-01-01,5
Kathmandu,Kathmandu,2076-01-01,19
Syangja,Syangja,2076-01-01,8
Rautahat,Rautahat,2076-01-01,2
Chitawan,Chitawan,2076-01-01,7
Chitawan,Chitawan,2076-01-01,8
Mahottari,Mahottari,2076-01-01,3
Nawalparasi,Nawalparasi,2076-01-01,4
Kathmandu,Kathmandu,2076-01-01,20
Syangja,Syangja,2076-01-01,9
Kaski,Kaski,2076-01-01,16
Kaski,Kaski,2076-01-01,17
Baglung,Baglung,2076-01-01,2
Lalitpur,Lalitpur,2076-01-01,3
Bajhang,Bajhang,2076-01-01,1
Tanahun,Tanahun,2076-01-01,4
Kathmandu,Kathmandu,2076-01-01,21
Rupandehi,Rupandehi,2076-01-01,9
Bhaktapur,Bhaktapur,2076-01-01,3
Lalitpur,Lalitpur,2076-01-01,4
Sarlahi,Sarlahi,2076-01-01,2
Nawalparasi,Nawalparasi,2076-01-01,5
Kaski,Kaski,2076-01-01,18
Tanahun,Tanahun,2076-01-01,5
Arghakhanchi,Arghakhanchi,2076-01-01,4
Kathmandu,Kathmandu,2076-01-01,22
Dhading,Dhading,2076-01-01,2
Kathmandu,Kathmandu,2076-01-01,23
Syangja,Syangja,2076-01-01,10
Tanahun,Tanahun,2076-01-01,6
Bara,Bara,2076-01-01,3
Nuwakot,Nuwakot,2076-01-01,2
Dhanusha,Dhanusha,2076-01-01,4
Tanahun,Tanahun,2076-01-01,7
Syangja,Syangja,2076-01-01,11
Dhading,Dhading,2076-01-01,3
Syangja,Syangja,2076-01-01,12
Bara,Bara,2076-01-01,4
Bara,Bara,2076-01-01,5
Kaski,Kaski,2076-01-01,19
Chitawan,Chitawan,2076-01-01,9
Rasuwa,Rasuwa,2076-01-01,2
Nawalparasi,Nawalparasi,2076-01-01,6
Dang,Dang,2076-01-01,4
Tanahun,Tanahun,2076-01-01,8
Chitawan,Chitawan,2076-01-01,10
Kathmandu,Kathmandu,2076-01-01,24
Kathmandu,Kathmandu,2076-01-01,25
Sunsari,Sunsari,2076-01-01,4
Kailali,Kailali,2076-01-01,3
Morang,Morang,2076-01-01,3
Bhaktapur,Bhaktapur,2076-01-01,4
Kavrepalanchok,Kavrepalanchok,2076-01-01,3
Kaski,Kaski,2076-01-01,20
Bhaktapur,Bhaktapur,2076-01-01,5
Tanahun,Tanahun,2076-01-01,9
Bara,Bara,2076-01-01,6
Rautahat,Rautahat,2076-01-01,3
Sarlahi,Sarlahi,2076-01-01,3
Morang,Morang,2076-01-01,4
Doti,Doti,2076-01-01,1
Gulmi,Gulmi,2076-01-01,4
Saptari,Saptari,2076-01-01,5
Morang,Morang,2076-01-01,5
Kavrepalanchok,Kavrepalanchok,2076-01-01,4
Saptari,Saptari,2076-01-01,6
Chitawan,Chitawan,2076-01-01,11
Jhapa,Jhapa,2076-01-01,1
Jhapa,Jhapa,2076-01-01,2
Jhapa,Jhapa,2076-01-01,3
Arghakhanchi,Arghakhanchi,2076-01-01,5
Dhading,Dhading,2076-01-01,4
Jhapa,Jhapa,2076-01-01,4
Palpa,Palpa,2076-01-01,2
Kaski,Kaski,2076-01-01,21
Sunsari,Sunsari,2076-01-01,5
Rupandehi,Rupandehi,2076-01-01,10
Kaski,Kaski,2076-01-01,22
Bardiya,Bardiya,2076-01-01,2
Lalitpur,Lalitpur,2076-01-01,5
Okhaldhunga,Okhaldhunga,2076-01-01,1
Gorkha,Gorkha,2076-01-01,3
Arghakhanchi,Arghakhanchi,2076-01-01,6
Kathmandu,Kathmandu,2076-01-01,26
Saptari,Saptari,2076-01-01,7
Dhanusha,Dhanusha,2076-01-01,5
Chitawan,Chitawan,2076-01-01,12
Bardiya,Bardiya,2076-01-01,3
Kailali,Kailali,2076-01-01,4
Chitawan,Chitawan,2076-01-01,13
Parsa,Parsa,2076-01-01,2
Rupandehi,Rupandehi,2076-01-01,11
Sarlahi,Sarlahi,2076-01-01,4
Kailali,Kailali,2076-01-01,5
Kaski,Kaski,2076-01-01,23
Parbat,Parbat,2076-01-01,6
Rupandehi,Rupandehi,2076-01-01,12
Rupandehi,Rupandehi,2076-01-01,13
Rupandehi,Rupandehi,2076-01-01,14
Parbat,Parbat,2076-01-01,7
Rupandehi,Rupandehi,2076-01-01,15
Kavrepalanchok,Kavrepalanchok,2076-01-01,5
Parbat,Parbat,2076-01-01,8
Kathmandu,Kathmandu,2076-01-01,27
Kailali,Kailali,2076-01-01,6
Kathmandu,Kathmandu,2076-01-01,28
Kaski,Kaski,2076-01-01,24
Rupandehi,Rupandehi,2076-01-01,16
Jhapa,Jhapa,2076-01-01,5
Rupandehi,Rupandehi,2076-01-01,17
Nawalparasi,Nawalparasi,2076-01-01,7
Syangja,Syangja,2076-01-01,13
Kathmandu,Kathmandu,2076-01-01,29
Kathmandu,Kathmandu,2076-01-01,30
Kavrepalanchok,Kavrepalanchok,2076-01-01,6
Jajarkot,Jajarkot,2076-01-01,1
Doti,Doti,2076-01-01,2
Kaski,Kaski,2076-01-01,25
Panchthar,Panchthar,2076-01-01,1
Dang,Dang,2076-01-01,5
Kathmandu,Kathmandu,2076-01-01,31
Kathmandu,Kathmandu,2076-01-01,32
Kathmandu,Kathmandu,2076-01-01,33
Rautahat,Rautahat,2076-01-01,4
Mahottari,Mahottari,2076-01-01,4
Dhanusha,Dhanusha,2076-01-01,6
Kathmandu,Kathmandu,2076-01-01,34
Lalitpur,Lalitpur,2076-01-01,6
Siraha,Siraha,2076-01-01,6
Kalikot,Kalikot,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,35
Nawalparasi,Nawalparasi,2076-01-01,8
Parsa,Parsa,2076-01-01,3
Kailali,Kailali,2076-01-01,7
Pyuthan,Pyuthan,2076-01-01,1
Lalitpur,Lalitpur,2076-01-01,7
Sunsari,Sunsari,2076-01-01,6
Sunsari,Sunsari,2076-01-01,7
Kathmandu,Kathmandu,2076-01-01,36
Sindhupalchok,Sindhupalchok,2076-01-01,1
Kavrepalanchok,Kavrepalanchok,2076-01-01,7
Parbat,Parbat,2076-01-01,9
Chitawan,Chitawan,2076-01-01,14
Chitawan,Chitawan,2076-01-01,15
Kaski,Kaski,2076-01-01,26
Dang,Dang,2076-01-01,6
Rukum,Rukum,2076-01-01,1
Kaski,Kaski,2076-01-01,27
Syangja,Syangja,2076-01-01,14
Chitawan,Chitawan,2076-01-01,16
Kathmandu,Kathmandu,2076-01-01,37
Kaski,Kaski,2076-01-01,28
Siraha,Siraha,2076-01-01,7
Baitadi,Baitadi,2076-01-01,1
Parbat,Parbat,2076-01-01,10
Parbat,Parbat,2076-01-01,11
Myagdi,Myagdi,2076-01-01,3
Baitadi,Baitadi,2076-01-01,2
Gulmi,Gulmi,2076-01-01,5
Saptari,Saptari,2076-01-01,8
Gorkha,Gorkha,2076-01-01,4
Kathmandu,Kathmandu,2076-01-01,38
Taplejung,Taplejung,2076-01-01,1
Taplejung,Taplejung,2076-01-01,2
Bhaktapur,Bhaktapur,2076-01-01,6
Baglung,Baglung,2076-01-01,3
Nuwakot,Nuwakot,2076-01-01,3
Tanahun,Tanahun,2076-01-01,10
Tanahun,Tanahun,2076-01-01,11
Sindhuli,Sindhuli,2076-01-01,2
Lalitpur,Lalitpur,2076-01-01,8
Achham,Achham,2076-01-01,2
Kaski,Kaski,2076-01-01,29
Rupandehi,Rupandehi,2076-01-01,18
Syangja,Syangja,2076-01-01,15
Chitawan,Chitawan,2076-01-01,17
Rupandehi,Rupandehi,2076-01-01,19
Arghakhanchi,Arghakhanchi,2076-01-01,7
Morang,Morang,2076-01-01,6
Dhading,Dhading,2076-01-01,5
Myagdi,Myagdi,2076-01-01,4
Morang,Morang,2076-01-01,7
Dhanusha,Dhanusha,2076-01-01,7
Kaski,Kaski,2076-01-01,30
Rupandehi,Rupandehi,2076-01-01,20
Chitawan,Chitawan,2076-01-01,18
Salyan,Salyan,2076-01-01,1
Chitawan,Chitawan,2076-01-01,19
Dhanusha,Dhanusha,2076-01-01,8
Rupandehi,Rupandehi,2076-01-01,21
Mahottari,Mahottari,2076-01-01,5
Lalitpur,Lalitpur,2076-01-01,9
Syangja,Syangja,2076-01-01,16
Rupandehi,Rupandehi,2076-01-01,22
Morang,Morang,2076-01-01,8
Bhaktapur,Bhaktapur,2076-01-01,7
Kanchanpur,Kanchanpur,2076-01-01,4
Saptari,Saptari,2076-01-01,9
Saptari,Saptari,2076-01-01,10
Bara,Bara,2076-01-01,7
Tanahun,Tanahun,2076-01-01,12
Gorkha,Gorkha,2076-01-01,5
Sunsari,Sunsari,2076-01-01,8
Jajarkot,Jajarkot,2076-01-01,2
Lalitpur,Lalitpur,2076-01-01,10
Gulmi,Gulmi,2076-01-01,6
Siraha,Siraha,2076-01-01,8
Mahottari,Mahottari,2076-01-01,6
Saptari,Saptari,2076-01-01,11
Sunsari,Sunsari,2076-01-01,9
Nawalparasi,Nawalparasi,2076-01-01,9
Kaski,Kaski,2076-01-01,31
Bara,Bara,2076-01-01,8
Syangja,Syangja,2076-01-01,17
Nawalparasi,Nawalparasi,2076-01-01,10
Sankhuwasabha,Sankhuwasabha,2076-01-01,1
Lalitpur,Lalitpur,2076-01-01,11
Morang,Morang,2076-01-01,9
Kapilbastu,Kapilbastu,2076-01-01,1
Darchula,Darchula,2076-01-01,1
Gulmi,Gulmi,2076-01-01,7
Dolakha,Dolakha,2076-01-01,1
Morang,Morang,2076-01-01,10
Kathmandu,Kathmandu,2076-01-01,39
Lalitpur,Lalitpur,2076-01-01,12
Jhapa,Jhapa,2076-01-01,6
Parbat,Parbat,2076-01-01,12
Kaski,Kaski,2076-01-01,32
Siraha,Siraha,2076-01-01,9
Chitawan,Chitawan,2076-01-01,20
Kavrepalanchok,Kavrepalanchok,2076-01-01,8
Lalitpur,Lalitpur,2076-01-01,13
Gorkha,Gorkha,2076-01-01,6
Gorkha,Gorkha,2076-01-01,7
Saptari,Saptari,2076-01-01,12
Nawalparasi,Nawalparasi,2076-01-01,11
Mahottari,Mahottari,2076-01-01,7
Dhanusha,Dhanusha,2076-01-01,9
Lamjung,Lamjung,2076-01-01,6
Gorkha,Gorkha,2076-01-01,8
Nawalparasi,Nawalparasi,2076-01-01,12
Mahottari,Mahottari,2076-01-01,8
Kavrepalanchok,Kavrepalanchok,2076-01-01,9
Sindhupalchok,Sindhupalchok,2076-01-01,2
Jhapa,Jhapa,2076-01-01,7
Rautahat,Rautahat,2076-01-01,5
Nuwakot,Nuwakot,2076-01-01,4
Chitawan,Chitawan,2076-01-01,21
Kavrepalanchok,Kavrepalanchok,2076-01-01,10
Palpa,Palpa,2076-01-01,3
Parbat,Parbat,2076-01-01,13
Jhapa,Jhapa,2076-01-01,8
Nawalparasi,Nawalparasi,2076-01-01,13
Achham,Achham,2076-01-01,3
Sarlahi,Sarlahi,2076-01-01,5
Syangja,Syangja,2076-01-01,18
Kailali,Kailali,2076-01-01,8
Makwanpur,Makwanpur,2076-01-01,3
Kathmandu,Kathmandu,2076-01-01,40
Bara,Bara,2076-01-01,9
Kathmandu,Kathmandu,2076-01-01,41
Bardiya,Bardiya,2076-01-01,4
Kathmandu,Kathmandu,2076-01-01,42
Saptari,Saptari,2076-01-01,13
Kaski,Kaski,2076-01-01,33
Jhapa,Jhapa,2076-01-01,9
Lalitpur,Lalitpur,2076-01-01,14
Kailali,Kailali,2076-01-01,9
Kailali,Kailali,2076-01-01,10
Rautahat,Rautahat,2076-01-01,6
Kanchanpur,Kanchanpur,2076-01-01,5
Kavrepalanchok,Kavrepalanchok,2076-01-01,11
Nawalparasi,Nawalparasi,2076-01-01,14
Kathmandu,Kathmandu,2076-01-01,43
Bhaktapur,Bhaktapur,2076-01-01,8
Bhaktapur,Bhaktapur,2076-01-01,9
Lalitpur,Lalitpur,2076-01-01,15
Saptari,Saptari,2076-01-01,14
Dhanusha,Dhanusha,2076-01-01,10
Jhapa,Jhapa,2076-01-01,10
Dhanusha,Dhanusha,2076-01-01,11
Lamjung,Lamjung,2076-01-01,7
Jhapa,Jhapa,2076-01-01,11
Kathmandu,Kathmandu,2076-01-01,44
Tanahun,Tanahun,2076-01-01,13
Chitawan,Chitawan,2076-01-01,22
Siraha,Siraha,2076-01-01,10
Lamjung,Lamjung,2076-01-01,8
Gorkha,Gorkha,2076-01-01,9
Dhanusha,Dhanusha,2076-01-01,12
Siraha,Siraha,2076-01-01,11
Gorkha,Gorkha,2076-01-01,10
Sunsari,Sunsari,2076-01-01,10
Sunsari,Sunsari,2076-01-01,11
Kailali,Kailali,2076-01-01,11
Tanahun,Tanahun,2076-01-01,14
Siraha,Siraha,2076-01-01,12
Okhaldhunga,Okhaldhunga,2076-01-01,2
Bara,Bara,2076-01-01,10
Saptari,Saptari,2076-01-01,15
Rautahat,Rautahat,2076-01-01,7
Saptari,Saptari,2076-01-01,16
Makwanpur,Makwanpur,2076-01-01,4
Rukum,Rukum,2076-01-01,2
Rukum,Rukum,2076-01-01,3
Chitawan,Chitawan,2076-01-01,23
Khotang,Khotang,2076-01-01,2
Myagdi,Myagdi,2076-01-01,5
Saptari,Saptari,2076-01-01,17
Dhanusha,Dhanusha,2076-01-01,13
Kathmandu,Kathmandu,2076-01-01,45
Rautahat,Rautahat,2076-01-01,8
Jumla,Jumla,2076-01-01,1
Banke,Banke,2076-01-01,5
Morang,Morang,2076-01-01,11
Saptari,Saptari,2076-01-01,18
Lalitpur,Lalitpur,2076-01-01,16
Dhanusha,Dhanusha,2076-01-01,14
Tanahun,Tanahun,2076-01-01,15
Gulmi,Gulmi,2076-01-01,8
Dhading,Dhading,2076-01-01,6
Kaski,Kaski,2076-01-01,34
Rupandehi,Rupandehi,2076-01-01,23
Ilam,Ilam,2076-01-01,3
Morang,Morang,2076-01-01,12
Makwanpur,Makwanpur,2076-01-01,5
Makwanpur,Makwanpur,2076-01-01,6
Jhapa,Jhapa,2076-01-01,12
Kathmandu,Kathmandu,2076-01-01,46
Rupandehi,Rupandehi,2076-01-01,24
Rupandehi,Rupandehi,2076-01-01,25
Kathmandu,Kathmandu,2076-01-01,47
Achham,Achham,2076-01-01,4
Bajhang,Bajhang,2076-01-01,2
Bajhang,Bajhang,2076-01-01,3
Lalitpur,Lalitpur,2076-01-01,17
Tanahun,Tanahun,2076-01-01,16
Sarlahi,Sarlahi,2076-01-01,6
Lalitpur,Lalitpur,2076-01-01,18
Rupandehi,Rupandehi,2076-01-01,26
Sunsari,Sunsari,2076-01-01,12
Udayapur,Udayapur,2076-01-01,1
Rolpa,Rolpa,2076-01-01,1
Parbat,Parbat,2076-01-01,14
Mahottari,Mahottari,2076-01-01,9
Chitawan,Chitawan,2076-01-01,24
Saptari,Saptari,2076-01-01,19
Jhapa,Jhapa,2076-01-01,13
Syangja,Syangja,2076-01-01,19
Jhapa,Jhapa,2076-01-01,14
Jhapa,Jhapa,2076-01-01,15
Terhathum,Terhathum,2076-01-01,2
Nuwakot,Nuwakot,2076-01-01,5
Nuwakot,Nuwakot,2076-01-01,6
Kailali,Kailali,2076-01-01,12
Palpa,Palpa,2076-01-01,4
Jhapa,Jhapa,2076-01-01,16
Sindhupalchok,Sindhupalchok,2076-01-01,3
Palpa,Palpa,2076-01-01,5
Jajarkot,Jajarkot,2076-01-01,3
Jajarkot,Jajarkot,2076-01-01,4
Kailali,Kailali,2076-01-01,13
Rupandehi,Rupandehi,2076-01-01,27
Dhading,Dhading,2076-01-01,7
Morang,Morang,2076-01-01,13
Lamjung,Lamjung,2076-01-01,9
Lamjung,Lamjung,2076-01-01,10
Ramechhap,Ramechhap,2076-01-01,1
Okhaldhunga,Okhaldhunga,2076-01-01,3
Bara,Bara,2076-01-01,11
Gulmi,Gulmi,2076-01-01,9
Morang,Morang,2076-01-01,14
Dhading,Dhading,2076-01-01,8
Ramechhap,Ramechhap,2076-01-01,2
Chitawan,Chitawan,2076-01-01,25
Nuwakot,Nuwakot,2076-01-01,7
Kathmandu,Kathmandu,2076-01-01,48
Chitawan,Chitawan,2076-01-01,26
Lalitpur,Lalitpur,2076-01-01,19
Kaski,Kaski,2076-01-01,35
Kaski,Kaski,2076-01-01,36
Dadeldhura,Dadeldhura,2076-01-01,1
Kapilbastu,Kapilbastu,2076-01-01,2
Bardiya,Bardiya,2076-01-01,5
Ramechhap,Ramechhap,2076-01-01,3
Okhaldhunga,Okhaldhunga,2076-01-01,4
Morang,Morang,2076-01-01,15
Kaski,Kaski,2076-01-01,37
Kathmandu,Kathmandu,2076-01-01,49
Syangja,Syangja,2076-01-01,20
Syangja,Syangja,2076-01-01,21
Lalitpur,Lalitpur,2076-01-01,20
Nawalparasi,Nawalparasi,2076-01-01,15
Chitawan,Chitawan,2076-01-01,27
Chitawan,Chitawan,2076-01-01,28
Syangja,Syangja,2076-01-01,22
Dhanusha,Dhanusha,2076-01-01,15
Saptari,Saptari,2076-01-01,20
Rautahat,Rautahat,2076-01-01,9
Dang,Dang,2076-01-01,7
Syangja,Syangja,2076-01-01,23
Kathmandu,Kathmandu,2076-01-01,50
Rautahat,Rautahat,2076-01-01,10
Siraha,Siraha,2076-01-01,13
Dadeldhura,Dadeldhura,2076-01-01,2
Rautahat,Rautahat,2076-01-01,11
Nawalparasi,Nawalparasi,2076-01-01,16
Banke,Banke,2076-01-01,6
Arghakhanchi,Arghakhanchi,2076-01-01,8
Kanchanpur,Kanchanpur,2076-01-01,6
Chitawan,Chitawan,2076-01-01,29
Nawalparasi,Nawalparasi,2076-01-01,17
Kathmandu,Kathmandu,2076-01-01,51
Kathmandu,Kathmandu,2076-01-01,52
Dhanusha,Dhanusha,2076-01-01,16
Khotang,Khotang,2076-01-01,3
Jhapa,Jhapa,2076-01-01,17
Bhaktapur,Bhaktapur,2076-01-01,10
Chitawan,Chitawan,2076-01-01,30
Taplejung,Taplejung,2076-01-01,3
Siraha,Siraha,2076-01-01,14
Okhaldhunga,Okhaldhunga,2076-01-01,5
Kailali,Kailali,2076-01-01,14
Mahottari,Mahottari,2076-01-01,10
Nawalparasi,Nawalparasi,2076-01-01,18
Kavrepalanchok,Kavrepalanchok,2076-01-01,12
Parsa,Parsa,2076-01-01,4
Kathmandu,Kathmandu,2076-01-01,53
Rolpa,Rolpa,2076-01-01,2
Siraha,Siraha,2076-01-01,15
Okhaldhunga,Okhaldhunga,2076-01-01,6
Sunsari,Sunsari,2076-01-01,13
Dhanusha,Dhanusha,2076-01-01,17
Terhathum,Terhathum,2076-01-01,3
Kanchanpur,Kanchanpur,2076-01-01,7
Banke,Banke,2076-01-01,7
Bhaktapur,Bhaktapur,2076-01-01,11
Rupandehi,Rupandehi,2076-01-01,28
Sindhupalchok,Sindhupalchok,2076-01-01,4
Nawalparasi,Nawalparasi,2076-01-01,19
Sunsari,Sunsari,2076-01-01,14
Sunsari,Sunsari,2076-01-01,15
Kaski,Kaski,2076-01-01,38
Chitawan,Chitawan,2076-01-01,31
Jumla,Jumla,2076-01-01,2
Chitawan,Chitawan,2076-01-01,32
Kaski,Kaski,2076-01-01,39
Gulmi,Gulmi,2076-01-01,10
Mahottari,Mahottari,2076-01-01,11
Chitawan,Chitawan,2076-01-01,33
Tanahun,Tanahun,2076-01-01,17
Kathmandu,Kathmandu,2076-01-01,54
Kanchanpur,Kanchanpur,2076-01-01,8
Dolakha,Dolakha,2076-01-01,2
Jhapa,Jhapa,2076-01-01,18
Dhading,Dhading,2076-01-01,9
Tanahun,Tanahun,2076-01-01,18
Rupandehi,Rupandehi,2076-01-01,29
Kathmandu,Kathmandu,2076-01-01,55
Kanchanpur,Kanchanpur,2076-01-01,9
Rupandehi,Rupandehi,2076-01-01,30
Parsa,Parsa,2076-01-01,5
Jhapa,Jhapa,2076-01-01,19
Kaski,Kaski,2076-01-01,40
Morang,Morang,2076-01-01,16
Saptari,Saptari,2076-01-01,21
Kathmandu,Kathmandu,2076-01-01,56
Siraha,Siraha,2076-01-01,16
Parbat,Parbat,2076-01-01,15
Kathmandu,Kathmandu,2076-01-01,57
Baitadi,Baitadi,2076-01-01,3
Rukum,Rukum,2076-01-01,4
Jhapa,Jhapa,2076-01-01,20
Dhanusha,Dhanusha,2076-01-01,18
Dailekh,Dailekh,2076-01-01,2
Nawalparasi,Nawalparasi,2076-01-01,20
Chitawan,Chitawan,2076-01-01,34
Morang,Morang,2076-01-01,17
Sindhuli,Sindhuli,2076-01-01,3
Dang,Dang,2076-01-01,8
Okhaldhunga,Okhaldhunga,2076-01-01,7
Nawalparasi,Nawalparasi,2076-01-01,21
Gulmi,Gulmi,2076-01-01,11
Bhaktapur,Bhaktapur,2076-01-01,12
Parsa,Parsa,2076-01-01,6
Syangja,Syangja,2076-01-01,24
Palpa,Palpa,2076-01-01,6
Sindhupalchok,Sindhupalchok,2076-01-01,5
Arghakhanchi,Arghakhanchi,2076-01-01,9
Dang,Dang,2076-01-01,9
Makwanpur,Makwanpur,2076-01-01,7
Baglung,Baglung,2076-01-01,4
Nuwakot,Nuwakot,2076-01-01,8
Chitawan,Chitawan,2076-01-01,35
Kathmandu,Kathmandu,2076-01-01,58
Syangja,Syangja,2076-01-01,25
Kathmandu,Kathmandu,2076-01-01,59
Kaski,Kaski,2076-01-01,41
Makwanpur,Makwanpur,2076-01-01,8
Arghakhanchi,Arghakhanchi,2076-01-01,10
Palpa,Palpa,2076-01-01,7
Parsa,Parsa,2076-01-01,7
Dhanusha,Dhanusha,2076-01-01,19
Chitawan,Chitawan,2076-01-01,36
Sarlahi,Sarlahi,2076-01-01,7
Dhading,Dhading,2076-01-01,10
Dolpa,Dolpa,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,60
Lalitpur,Lalitpur,2076-01-01,21
Jhapa,Jhapa,2076-01-01,21
Syangja,Syangja,2076-01-01,26
Kathmandu,Kathmandu,2076-01-01,61
Kathmandu,Kathmandu,2076-01-01,62
Kathmandu,Kathmandu,2076-01-01,63
Tanahun,Tanahun,2076-01-01,19
Sunsari,Sunsari,2076-01-01,16
